City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tuktoyaktuk,69.4541,-133.0374,-19.0,78,20,2.57,CA,1680572449
1,hermanus,-34.4187,19.2345,12.11,81,100,1.95,ZA,1680572449
2,lompoc,34.6391,-120.4579,12.0,65,0,13.38,US,1680572449
3,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,1680572219
4,bluff,-46.6,168.3333,14.89,71,75,5.41,NZ,1680572450
5,lock haven,41.137,-77.4469,17.27,82,99,0.39,US,1680572450
6,atuona,-9.8,-139.0333,27.3,76,61,5.84,PF,1680572438
7,peniche,39.3558,-9.3811,14.05,81,100,7.83,PT,1680572450
8,ust-kuyga,70.0167,135.6,-9.11,84,97,0.9,RU,1680572451
9,luderitz,-26.6481,15.1594,17.05,63,0,6.52,NA,1680572451
10,clyde river,70.4692,-68.5914,-23.87,77,0,3.6,CA,1680572451
11,mataura,-46.1927,168.8643,14.71,50,49,1.99,NZ,1680572422
12,warmbad,-28.45,18.7333,15.95,48,0,2.22,NA,1680572451
13,omsukchan,62.5333,155.8,-12.29,68,0,2.69,RU,1680572452
14,bilibino,68.0546,166.4372,-17.96,67,100,1.6,RU,1680572452
15,butaritari,3.0707,172.7902,27.69,81,80,8.11,KI,1680572452
16,kaeo,-35.1,173.7833,23.51,55,1,1.08,NZ,1680572452
17,punta arenas,-53.15,-70.9167,7.06,70,20,3.6,CL,1680572452
18,puerto ayora,-0.7393,-90.3518,27.53,92,19,1.34,EC,1680572452
19,komsomolskiy,40.4272,71.7189,13.4,71,100,2.06,UZ,1680572453
20,aklavik,68.2191,-135.0107,-8.04,91,100,4.3,CA,1680572453
21,bom jesus,-9.0744,-44.3586,23.93,72,100,0.93,BR,1680572453
22,duku,11.2361,4.9073,28.69,10,57,2.02,NG,1680572453
23,hilo,19.7297,-155.09,26.08,74,100,4.63,US,1680572454
24,nikolskoye,59.7035,30.7861,-1.78,97,100,2.94,RU,1680572429
25,cape town,-33.9258,18.4232,15.62,86,0,0.51,ZA,1680572226
26,ushuaia,-54.8,-68.3,6.81,87,75,5.14,AR,1680572454
27,busselton,-33.65,115.3333,20.17,53,38,4.4,AU,1680572455
28,zabol,32.25,67.25,7.34,33,0,2.83,AF,1680572455
29,alta floresta,-9.8756,-56.0861,21.0,98,60,0.91,BR,1680572455
30,apen,53.2167,7.8,0.55,68,79,2.57,DE,1680572455
31,rikitea,-23.1203,-134.9692,26.49,83,98,6.55,PF,1680572421
32,aksu,41.1231,80.2644,2.58,20,1,7.9,CN,1680572455
33,carnarvon,-24.8667,113.6333,24.61,69,55,5.54,AU,1680572431
34,ilulissat,69.2167,-51.1,-26.72,98,26,2.11,GL,1680572456
35,new norfolk,-42.7826,147.0587,19.4,42,24,2.26,AU,1680572456
36,sambava,-14.2667,50.1667,23.98,90,29,2.81,MG,1680572221
37,hasaki,35.7333,140.8333,16.22,52,0,4.83,JP,1680572456
38,mataram,-8.5833,116.1167,28.45,82,100,1.87,ID,1680572457
39,coihaique,-45.5752,-72.0662,12.97,67,75,4.12,CL,1680572457
40,puerto lleras,3.0223,-73.4044,22.29,93,16,0.84,CO,1680572457
41,upernavik,72.7868,-56.1549,-29.49,99,37,1.94,GL,1680572457
42,jamestown,42.097,-79.2353,9.8,61,100,3.09,US,1680572164
43,makakilo city,21.3469,-158.0858,28.18,61,75,7.2,US,1680572457
44,port hardy,50.6996,-127.4199,5.1,87,75,3.09,CA,1680572458
45,albany,42.6001,-73.9662,12.32,61,100,2.23,US,1680572458
46,san carlos de bariloche,-41.1456,-71.3082,8.86,57,0,2.06,AR,1680572384
47,lagoa,39.05,-27.9833,14.59,69,100,4.52,PT,1680572458
48,bam,29.106,58.357,15.52,13,0,1.47,IR,1680572458
49,saint george,37.1041,-113.5841,4.68,72,100,7.72,US,1680572427
50,bredasdorp,-34.5322,20.0403,15.05,85,100,0.93,ZA,1680572459
51,lebu,-37.6167,-73.65,12.64,76,1,7.48,CL,1680572459
